序號	單元	答案	題目
229	1	1	下列何者不是「載入程式(Loader)」的功能？(1)緊結(Binding)(2)連結(Linking)(3)重定位(Relocation)(4)載入(Loading)。
230	1	3	下列敘述何者正確？(1)一個連線(On-Line)系統一定是即時系統(Real-Time)(2)一個多程式(Multiprogramming)執行系統一定具有分時(Time-Sharing)功能(3)一個分時(Time-Sharing)系統一定是多程式執行系統(Multiprogramming)(4)一個多重處理器系統一定是多程式(Multiprogramming)執行系統。
231	1	4	在作業系統(Operating System)處理程序執行順序排程(Process Scheduling)中，下列何者不屬於Process Scheduling的方法？(1)First In First Out(2)Shortest Job First(3)Round Robin(4)Race Condition。
232	1	1	在電腦中，負責管理CPU及I/O設備的為何？(1)作業系統(2)公用程式(3)載入程式(4)編譯程式。
233	1	1	下列何者不是網際網路(Internet)所提供的功能？(1)OLTP(連線交易處理)(2)E-Mail(電子郵件)(3)TELNET(遠程終端模擬)(4)FTP(檔案傳輸)。
234	1	3	「全球資訊網(World Wide Web)」在程式架構上是採取什麼架構？(1)Master Slave(2)Peer to Peer(3)Client Server(4)File Sharing。
235	1	4	電腦的五大單元中，何者專門負責整體系統的指揮控制？(1)輸入單元(2)算術/邏輯單元(3)記憶單元(4)控制單元。
236	1	3	「快取記憶體(Cache Memory)」的主要功能是：(1)作為輔助記憶體(2)可以降低主記憶體的負擔和成本(3)可以增進程式的整體執行速度(4)可以減少輔助記憶體的空間需求。
237	1	1	結構化程式的缺點是：(1)較浪費主記憶體空間(2)開發程式的成本較高(3)流程複雜，別人不易看懂(4)程式測試不容易。
238	1	2	下列敘述何者不正確？(1)電腦中的加法器為組合電路(2)載入程式(Loader)可以將原始程式轉成可執行程式(3)電腦內部對於整數和實數是以不同的方式儲存(4)寫程式時，其實可以完全不用到GO TO指令。
239	1	3	何種網路協定可以自動設定使用者電腦的 IP Address？(1)RIP(2)TCP/IP(3)DHCP(4)IPX/SPX。
240	1	2	資料儲存的功能是由下列那一單元來執行？(1)算術邏輯單元(2)記憶單元(3)控制單元(4)輸出入單元。
241	1	2	那一種服務可以存取SQL伺服器或Access的資料庫界面？(1)Gopher Service(2)WWW Service(3)FTP Service(4)Proxy Service。
242	1	3	下列有關「載入程式(Loader)」的敘述中，何者是正確的？(1)可檢查原始程式是否有語法(Syntax)上的錯誤(2)將原始程式編譯成目的程式(3)將目的程式載入主記憶體中(4)執行目的程式。
243	1	4	下列何者不是資料庫的資料結構之一？(1)關聯式(Relational)(2)網路式(Network)(3)階層式(Hierachical)(4)星狀式(Star)。
244	1	2	下列那一項設定可以讓你使用IE瀏覽網站時，減少連外網路的負荷？(1)設定History(2)設定Proxy伺服器(3)使用Auto complete(4)設定我的最愛。
245	1	4	下列有關「PC中匯流排(Bus)」的敘述中，何者有誤？(1)匯流排一般分為資料匯流排(Data Bus)，位址匯流排(Address Bus)和控制匯流排(Control Bus)三種(2)Data Bus是在CPU和Memory之間傳送資料，所以是雙向性(3)Address Bus可用來標明Memory或I/O Port位址的地方(4)Data Bus的長度和Address Bus的長度必須一樣。
246	1	3	下列記憶體中，何者能讀取亦能寫入？(1)PROM(2)CD-ROM(3)RAM(4)EEROM。
247	1	1	下列敘述何者錯誤？(1)動態隨機存取記憶體(DRAM)消耗功率比靜態隨機存取記憶體(SRAM)大(2)SRAM乃由正反器(Flip-Flop)構成基本記憶單元(3)可程式唯讀記憶體(PROM)只能讓使用者自行規劃、並燒錄程式一次(4)可抹除可程式唯讀記憶體(EPROM)中所寫入之程式，能夠用紫外線照射將之抹除。
248	1	3	下列有關「乙太網路(Ethernet)10Base-T」的敘述中，何者錯誤？(1)屬於分享式網路，採用CSMA/CD的碰撞處理方式傳輸資料(2)網絡上用戶多時，頻寬會損失，傳輸速率會變慢(3)佈線完成後必需要加上50歐姆的終端電阻(4)相較其他網路技術，其使用成本較便宜。
249	1	2	下列有關「非同步傳輸模式(ATM)」的敘述中，何者錯誤？(1)屬於一種星狀架構，以交換方式存取資料(2)屬於一種高速網路，但是不同的速度無法相容(3)屬於一種專屬網路，每一用戶端都可以享用自己全部的頻寬(4)可以傳輸多媒體資料。
250	1	4	下列有關「路由器(Router)」的敘述中，何者錯誤？(1)它主要是OSI通訊協定標準第三層，亦即網路層的設備(2)能夠整合不同的網路系統，例如讓乙太網路和記號環網路相連(3)俱備了廣域網路的連線能力(4)無法取代橋接器(Bridge)的功能。
251	1	4	下列有關「全球資訊網(WWW)」的敘述中，何者錯誤？(1)WWW裡的文件都是用HTML(Hyper Text Markup Language)撰寫的(2)在網路存取上則採用URL(Uniform ResourceLocator)來定義資料所在的位置(3)使用者一般都用瀏覽器(Browser)閱讀資料(4)無法傳遞多媒體資料。
252	1	1	下列那一種是用於電子郵件的通訊協定？(1)SMTP(2)HTTP(3)FTP(4)Telnet。
253	1	2	下列所述之輔助記憶體中，何者之存取速度最快？(1)軟碟機(2)硬碟機(3)光碟機(4)磁帶機。
254	1	1	使用IE瀏覽全球資訊網(WWW)時，無法以網域名稱連接，而改以IP位址連接則正常，該如何解決？(1)檢查客戶端的DNS伺服器設定(2)檢查客戶端的IP位址是否相衝(3)檢查客戶端的預放通訊欄是否設定錯誤(4)檢查連線是否有問題。
255	1	2	關於「全球資訊網WWW(World Wide Web)」的敘述中，以下那一項正確？(1)只能在Internet中使用(2)圖形和文件資源都可被連結在web網頁內(3)它只能使用以圖形為介面的瀏灠器(4)它不能加入表格。
256	1	3	收到一個副檔名為.asp的程式，該如何啟動它？(1)直接可在IE執行(2)需重新編譯方能執行(3)需要連上具執行程式能力的網站伺服器方可執行(4)要另存副檔名為.bat的新檔案方可被執行。
257	1	4	下列敘述中，何者不是橋接器對電腦網路的貢獻？(1)協助排除網路中的局部當機區域，使網路功能不停頓(2)克服網路架構纜線距離的限制(3)讓傳輸媒介或纜線可以混接(4)提供多重路徑的協定。
258	1	1	下列四個SQL指令，何者不正確？(1)INSERT INTO Table1(fa,fb,fc)(1,20,30);(2)DELETE FROM Table1 WHERE fa=1;(3)UPDATE Table1 SET fb=fb*2 WHERE fa=1;(4)SELECT * FROM Table1;。"
259	1	4	下列設備何者通常作為輸入裝置？(1)Printer(2)Speaker(3)Plotter(4)Mouse。
260	1	3	公司的員工希望可以接收電子郵件(E-Mail)，你要幫他設定那一種伺服器？(1)LDAP(2)NNTP(3)POP3(4)DNS。
261	1	2	在設定網路連線時，「SMTP伺服器」是指那一種伺服器？(1)收信伺服器(2)寄信伺服器(3)檔案伺服器(4)網站伺服器。
262	1	2	「WWW伺服器」預設使用TCP的那一個port number傳送資料？(1)21(2)80(3)70(4)110。
263	1	3	使用IE瀏覽一部名為「www.myweb.com.tw」的電腦上「port number為8000」的Web虛擬主機，位址應如何輸入？(1)http://www.myweb.com.tw/(2)http://www.myweb.com.tw/default.htm(3)http://www.myweb.com.tw:8000/(4)http://www.myweb.com.tw/8000。
264	1	3	開機時螢幕電源指示燈已亮，但螢幕卻無畫面出現，則下列何者非檢查要項？(1)螢幕訊號轉接頭不良(2)主機板故障(3)鍵盤接觸不良(4)顯示卡故障。
265	1	4	拆裝電腦時應先(1)進入測試軟體後再拆裝(2)螢幕關機後再開機(3)按Reset鍵後再拆裝(4)關閉電腦電源後再拆裝。
266	1	3	網際網路的傳送訊息封包成許多小包，下列何者不是其目的？(1)改善網路傳遞時的速率(2)保証資料傳遞正確沒有錯誤(3)傳輸時間耗費較少(4)便於檢查每一封包的正確性。
267	1	2	程式設計時，若同一段敘述要重覆執行若干次，則採用？(1)循序結構(2)迴路結構(3)選擇結構(4)樹狀結構。
268	1	4	下列敘述何者錯誤？(1)數據機(MODEM)可以將類比信號轉成數位信號、或將數位號轉變成類比信號(2)資料傳輸時，若線路兩端可以在同一時間互相傳送資料，此種方式稱為全雙工(Full Duplex)(3)X.25是一個國際公認的分封交換(Packet Switching)通訊標準(4)經由數據機傳送至電話線上的信號為數位信號。
269	1	2	CPU的位址線匯流排對CPU而言為：(1)僅能輸入(2)僅能輸出(3)輸出入皆可(4)不能輸出入。
270	1	3	電腦的電源在關機(Off)後，下列何種記憶體之內容不會消失(1)DRAM(2)SRAM(3)BIOS(4)Virtual Disk。
271	1	3	下列何者不是結構化程式設計所採用的基本結構？(1)重覆結構(2)選擇結構(3)跳躍結構(4)循序結構。
272	1	3	下列何者不是數據通訊之傳輸媒體？(1)同軸電纜(2)微波(3)數據機(4)光纖。
273	1	2	在資料通訊系統中，資料傳輸時，為了避免資料被竊取，因而使資料外洩應做何種防範措施？(1)將資料做錯誤檢查(2)將資料加密(3)將資料解密(4)將資料解壓縮。
274	1	3	在TCP/IP網路裏，每一主機都有一個IP位址，而每個IP位址是幾個位元的資訊？(1)8位元(2)16位元(3)32位元(4)64位元。
275	1	4	下列何者不是影響PC(個人電腦)系統功能的因素？(1)CPU的時鐘頻率(2)CPU的主儲存體容量(3)CPU所能提供的指令集(4)CPU的配置模式。
276	1	2	下列那個敘述是錯的？(1)任何十進位整數都可用二進位表示(2)任何十進位小數都可用二進位表示(3)任何二進位整數都可用十進位表示(4)任何二進位小數都可用十進位表示。
277	1	2	若考慮正負號，1個Byte的長度，它可以儲存的最大值？(1)255(2)127(3)512(4)36727。
278	1	1	若不考慮正負號，1個Byte的長度，它可以儲存的最大值？(1)255(2)512(3)128(4)1024。
279	2	4	在文書處理軟體Microsoft Word XP中，下列那一個段落對齊會調整字元間距，讓左邊界和右邊界都對齊？(1)分散對齊(2)靠左對齊(3)靠右對齊(4)左右對齊。
280	2	4	在文書處理軟體Microsoft Word XP中，如果要設定整頁文件的外框，則下列設定的動作何者可以完成？(1)在版面設定的邊界中設定(2)在自動格式設定中設定(3)在檢視的頁首/頁尾中設定(4)在框線網底的頁面框線中設定。
281	2	1	在Microsoft Word 2003的環境中，上下兩個表格可以合併成一個表格，但下列何者設定可能會影響合併表格操作的完成？(1)文繞圖(2)表格對齊方式(3)表格大小(4)欄寬。
282	2	4	在Microsoft Word 2003環境中，有關「儲存格對齊」的敘述，下列何者不正確？(1)可以單獨設定儲存格的垂直對齊(2)可以單獨設定儲存格的水平對齊(3)可以同時設定儲存格的垂直及水平對齊(4)分散對齊只能用於水平對齊。
283	2	4	在Microsoft Word 2003環境中，下列那一種功能可進行度量單位轉換，例如將輸入的「5m」文字轉為「16.4ft」？(1)自動校正(2)自動圖文集(3)自動格式設定(4)智慧標籤動作。
284	2	4	在Microsoft Word 2003環境中，關於「目錄」的敘述，下列何者不正確？(1)目錄項目來源可為自訂的樣式(2)目錄項目來源可為標示大綱階層的段落(3)選取目錄，再按「F9」鍵，可更新目錄(4)選取目錄，再按「Ctrl」+「F9」鍵，可取消目錄的功能變數，使目錄成為獨立的文字。
285	2	3	在Microsoft Excel 2003環境中，若要在「一個儲存格」中輸入兩列以上的資料，執行強迫換列的動作，需按下列那一個組合鍵？(1)Shift+Enter(2)Ctrl+Enter(3)Alt+Enter(4)Ctrl+F10。
286	2	2	在Microsoft Excel 2003環境中，如果在儲存格中需要顯示日期「99/11/10」，應該如何輸入？(1)c99/11/10(2)r99/11/10(3)t99/11/10(4)y99/11/10。
287	2	4	在Microsoft Excel 2003預設環境中，在儲存格中輸入適當資料，再拖曳該儲存格右下角的填滿控制點，可在各儲存格自動填滿遞增資料；但輸入下列何者無法達成上述功能？(1)週一(2)正月(3)甲(4)一。
288	2	3	在Microsoft Excel 2003環境中，儲存格A1及A2分別輸入2010/6/1、2010/6/4後，選取儲存格A1及A2，拖曳選取範圍右下角的填滿控制點至儲存格A4，再選取自動填滿選項的方式是「以工作日填滿」，試問儲存格A3及A4的資料是下列那一項(提示：2010/6/1是星期二)？(1)2010/6/7、2010/6/10(2)2010/6/7、2010/6/8(3)2010/6/8、2010/6/11(4)2010/6/5、2010/6/5。
289	2	1	在Microsoft Excel 2003環境中，在儲存格中輸入「10-9-6」，並設定儲存格的格式為「m/d(aaa)」，則該儲20存格如何顯示？(1)9/6(週一)(2)9/6(星期一)(3)10/6(週一)(4)10/9(星期一)。
290	2	1	在Microsoft Excel 2003環境中，有資料如下圖所示，其中儲存格A1及A2的格式設定為數值、儲存格A3的格式設定為貨幣，由於格式設定不同，造成3個儲存格的數字資料右側沒對齊；如何修改A3的格式設定才能對齊？(1)""NT$""#,##0_-(2)""NT$""#,##0*-(3)""NT$""#,##0**(4)""NT$""##,#0?。
291	2	2	在文書處理軟體Microsoft Word XP中，下列關於「範本」的敘述中，何者錯誤？(1)normal.dot為一個共用範本(2)範本的兩種基本資料類型為共用範本和範本文件(3)範本決定文件的基本資料結構和文件設定(4)範本文件所含設定僅適用於以該範本為基礎的文件。
292	2	1	在Microsoft Excel 2003環境中，已有學員成績資料如下圖所示，如果希望當學員「平均」小於60，則該學員整列的圖樣變成灰-25%；則儲存格範圍A2至E5之「設定格式化的條件」功能中，「條件一」的公式應為何？(1)=$E2＜60(2)=E2＜60(3)=$E$2＜60(4)=E$2＜60。
293	2	4	在Microsoft Excel 2003環境中，儲存格A1、B1、C1的資料分別為2008、7、15，利用此3個儲存格資料在儲存格D1組合成一個日期，並設定格式為日期形態[e/m/d]，以顯示97/7/15；則下列公式何者無法達成要求？(1)=DATE(A1,B1,C1)(2)=DATEVALUE(A1&""-""&B1&""-""&C1)(3)=VALUE(A1&""-""&B1&""-""&C1)(4)=A1&""/""&B1&""/""&C1。
294	2	4	在Microsoft Excel 2003環境中，如果單一儲存格已建立超連結，若要對此儲存格進行設定或修改，應如何選取此儲存格？(1)按住Shift鍵不放，再用滑鼠點選此儲存格(2)按住Alt鍵不放，再用滑鼠點選此儲存格(3)按住Ctrl鍵不放，再用滑鼠點選此儲存格(4)在此儲存格按滑鼠右鍵。
295	2	1	在Microsoft Excel 2003環境中，在下圖資料中，如果希望與「所得稅」有關的儲存格圖樣為灰-25％；則儲存格範圍B2至E5之「設定格式化的條件」功能中，「條件一」的公式應為何？(1)=MOD(ROW(),2)=0(2)=MOD(ROW(),2)=1(3)=MOD(ROW(),4)=0(4)=MOD(ROW(),4)=1。
296	2	4	在Microsoft Excel 2003環境中，有關「非ASCII碼排序」的敘述，下列何者不正確：(1)需先在「自定清單」內定義排列順序(2)每次排序至多只能有一個非ASCII碼(3)非ASCII碼排序必須指定在主要鍵(4)排序至多不能超過3次。
297	2	2	下列何者是Microsoft Excel 2003所提供的功能？(1)分割儲存格(2)同時搬移連續多欄(3)調整選取儲存格的寬度(4)於儲存格的文字段落中插入嵌入式圖片。
298	2	4	在Microsoft Excel 2003環境中，有關「進階篩選」的敘述，下列何者不正確？(1)篩選資料輸出處，系統會自動產生欄位名稱(2)準則範圍中，列與列之間是OR的篩選組合關係(3)被篩選的資料與篩選結果必須屬於同一張工作表(4)篩選準則不能使用函數。
299	2	1	在Microsoft Excel 2003環境中，提供自動輸入公式對相同鍵值的數值資料作計算的功能稱之為「小計」。在執行前述「小計」功能之前，資料必須先經過何種處理？(1)排序(2)篩選(3)資料剖析(4)合併匯算。
300	2	2	在Microsoft Excel 2003環境中，有一工作表資料如下圖，在B2儲存格輸入公式「A2*C$2」，並設定格式為數值類別、小數位數為0、使用千分位(,)符號，再拖曳B2儲存格之自動填滿控制點至B4儲存格，然後在B5儲存格輸入=SUM(B2:B4)，如此操作發生四捨五入之誤差問題，該如何解決？(1)B2儲存格修改為=INT(A2)*C$2，再拖曳B2儲存格之自動填滿控制點至B4儲存格(2)B2儲存格修改為=INT(A2*C$2)，再拖曳B2儲存格之自動填滿控制點至B4儲存格(3)B5儲存格修改為=ROUND(SUM(B2:B4),0)(4)B5儲存格修改為=ROUND(S21UM(A2:A4)*C2,0)。
301	2	1	在Microsoft Excel 2003環境中，下列那一種圖表只適用在「僅有一個資料數列」的情況？(1)圓形圖(2)環形圖(3)雷達圖(4)直條圖。
302	2	4	在文書處理軟體Microsoft Word XP中，關於頁面檢視的描述，下列敘述何者錯誤？(1)如果要將整個版面都顯示在視窗中，則要選取「整頁」(2)如果選取「頁寬」，則依視窗的寬度自動縮小或放大來調整版面的寬度(3)使用者可以自訂檢視的比例(4)設定檢視的比例將會影響列印的結果。
303	2	2	在Microsoft PowerPoint 2003環境中，若要設定播放時，「投影片往下擦去、標題上升、內文上升」，則下列那項功能可以一次完成設定？(1)動作設定(2)動畫配置(3)自訂動畫(4)投影片切換。
304	2	4	在Microsoft PowerPoint 2003環境中，如果想將多張圖片一次新增到簡報中，並指定每張投影片配置的圖片數，以自動分配圖片至各投影片中，應如何操作？(1)檔案/匯入(2)插入/圖片/從檔案(3)插入/圖片/從掃描器或照相機(4)插入/圖片/新相簿。
305	2	4	在Microsoft PowerPoint 2003環境中，關於「封裝成光碟」功能的敘述，下列何者不正確？(1)可以包含連結的檔案(2)可以內嵌True Type字型(3)不需使用PowerPoint即可播放簡報(4)必需使用燒錄光碟片。
306	2	1	在Microsoft PowerPoint 2003環境中，若希望撥放時物件動作能搭配聲音，下列何項功能無法達成？(1)超連結(2)動作設定(3)自訂動畫(4)投影片切換。
307	2	2	在Microsoft PowerPoint 2003環境中，如要「變更投影片編號的位置」，應在那裡設定？(1)檢視/頁首及頁尾(2)檢視/母片/投影片母片(3)檔案/版面設定(4)插入/投影片編號。
308	2	4	在Microsoft PowerPoint 2003環境中，有關「插入聲音檔案」的敘述，下列何者不正確？(1)可設定投影片播放時隱藏聲音圖示(2)wav音效檔大小超過設定值會自動以連結方式處理(3)可設定聲音檔重複播放的次數(4)mp3檔可設定以內嵌方式插入。
309	2	1	在Microsoft PowerPoint 2003環境中，下列何者的文字可於「大綱標籤頁」中直接編輯？(1)版面配置區(2)快取圖案(3)文字方塊(4)文字藝術師。
310	2	1	下列何種檔案不可匯入至Microsoft Access 2003成為資料表？(1)Word(2)Exchange(3)dBASE(4)Outlook。
311	2	4	在Microsoft Access 2003環境中，關於「資料表主索引鍵」的敘述，下列何者不正確？(1)每個資料表只能有一個主索引鍵(2)主索引鍵最多可由10個欄位組成(3)資料表允許沒有主索引鍵(4)主索引鍵可以使用任何資料類型的欄位。
312	2	1	在Microsoft Access 2003環境中，使用「交叉資料表查詢」時，需搭配下列何項功能？(1)合計(2)排序(3)準則(4)參數。
313	2	4	在文書處理軟體Microsoft Word 2003中，下列敘述何者錯誤？(1)可以從Word或Access等外部檔案匯入資料執行合併列印(2)使用巨集功能可以較少的動作完成複雜的工作(3)使用文字方塊可使一份文件同時直書與橫書(4)不具有繪圖功能，必須以插入物件的方式插入繪圖物件。
314	2	1	在Microsoft Access 2003表單視窗中，下列那一個控制項無法與資料來源結合？(1)標籤(2)文字方塊(3)下拉式方塊(4)清單方塊。
315	2	4	在Microsoft Access 2003資料庫關聯圖視窗中，執行關聯編輯時，下列何者無法設定？(1)強迫參考完整性(2)重疊顯示刪除相關欄位(3)連接類型(4)關聯類型。
316	2	4	在Microsoft Access 2003查詢視窗中，下列那一個準則絕對無法找到符合「台東縣長濱鄉」文字的資料？(1)台*鄉(2)台東縣??鄉(3)台*長?鄉(4)台?鄉。
317	2	3	在Microsoft Access 2003查詢視窗中，有關SQL語法「」的敘述，下列何者不正確？(1)資料表名稱是「訂單明細」(2)「總金額」為自訂欄位名稱(3)最後一列改為「ORDER BY 總金額;」，並不影響查詢結果(4)1個訂單代號只會出現1筆資料。
318	2	4	在Adobe Photoshop CS4環境中，影像合成後，若要「保留影像的所有圖層」，應儲存成何類型檔案？(1)JPEG(2)GIF(3)TIF(4)PSD。
319	2	4	在Adobe Photoshop CS4工具箱中，選取「套索工具」後，下列何者不是選項列所提供的功能？(1)增加至選取範圍(2)從選取範圍中減去(3)與選取範圍相交(4)反轉選取。
320	2	3	在Ulead PhotoImpact 11環境中，如欲快速選取水果圖片的「單純白色背景」，應使用下列何工具較適當？22(1)標準選取工具(2)套索工具(3)魔術棒工具(4)貝玆選取工具。
321	2	2	在Ulead PhotoImpact 11環境中，可整批轉換選定資料夾內所有檔案的影像類型或檔案格式，應使用下列何項功能？(1)另存新檔(2)批次轉換(3)批次管理員(4)快速轉換。
322	2	4	在Microsoft PowerPoint 2003環境中，無法儲存為那一種副檔案名稱？(1)ppt(2)ppa(3)pps(4)ppx。
323	2	2	在Microsoft Excel 2003環境中，下列關於「自訂儲存格數字格式」的敘述，何者錯誤？(1)區段是藉由分號來分隔(2)四個區段定義的格式順序為正數、0、負數值和文字(3)如果只指定兩個區段，則第一個區段為正數和0，第二個區段為負數(4)如果只指定一個區段，則所有的數字都會使用此格式。
324	2	1	(本題刪題)在文書處理軟體Microsoft Word XP中，下列敘述何者正確？(1)可以使用書籤快速跳至所定義的位置(2)具中文拼字檢查和文法檢查的功能(3)無法自行控制字形大小(4)有網站管理的功能。
325	2	2	在Microsoft Excel 2003環境中，若在Sheet1工作表中的D3儲存格，定義公式為「=A$1+$B2*C$1」，將該儲存格複製至Sheet3工作表中的F8儲存格內，則F8儲存格內所定義之公式為下列何者？(1)「=C$1+Sheet1!$B7*E$1」(2)「=C$1+$B7*E$1」(3)「=Sheet1!C$1+$B7*Sheet1!E$1」(4)「=Sheet1!C$1+Sheet1!$B7*Sheet1!E$1」。
326	2	4	在Google分享文件的試算表功能中，下列那一個是Microsoft Excel 2003所無法完成的？(1)資料排序(2)圖表製作(3)函數運算(4)線上問卷。
327	2	1	在Microsoft Excel 2003環境中，若「A1、A2、A3」儲存格中之值分別為「100、book、小明」，且A6儲存格內所定義之公式為「=Max(A1:A3)」，則A6儲存格內之值應為下列何者？(1)100(2)book(3)小明(4)#VALUE!。
328	2	3	在Microsoft Excel 2003中，在資料編輯列中輸入「=2010/3/10」，結果會顯示以下何者？(1)顯示「2010年3月10日」(2)顯示「#VALUE!」(3)顯示「67」(4)顯示「2010/3/10」。
329	2	123	下列應用軟體哪些屬於文書處理軟體？(1)Writer(2)Pages(3)Microsoft Word(4)Dropbox。
330	2	1234	下列應用軟體哪些屬於試算表軟體？(1)Calc(2)Numbers(3)Microsoft Excel(4)Lotus 123。
331	2	134	下列應用軟體哪些屬於簡報軟體？(1)Keynote(2)Google Chrome(3)Microsoft PowerPoint(4)Impress。
332	2	34	下列哪些是Microsoft Word 2013與Microsoft Word 2010的不同處？(1)可以透過「共同撰寫」功能，和其他人同時編輯文件、分享創意(2)有全新的圖片編輯工具，能營造出特別的圖片效果，可以輕易調整圖片的色彩飽和度與色溫(3)可以在重新開啟文件時，從先前中斷處開始繼續閱讀(4)可以開啟PDF並編輯內容。
333	2	23	下列哪些是Microsoft Excel 2013新增的功能？(1)可以在單一儲存格中建立數據圖表(2)交叉分析篩選器可以篩選Excel表格、查詢表及其他資料表格中的資料(3)可以儲存成Strict Open XML試算表(*.xlsx)檔案格式，並以此檔案格式來開啟檔案(4)可以透過 Excel Services 發佈與共用。
334	2	14	下列哪些是Microsoft PowerPoint 2013新增的功能？(1)提供新的佈景主題以充分善用寬螢幕(16:9)和HD格式(2)提供多螢幕、多簡報的作業(3)提供內嵌並編輯視訊檔案，可輕鬆剪輯影片(4)編輯投影片時可以對齊物件並有等距間隔。
335	2	4	在文書處理軟體Microsoft Word XP中，以滑鼠在文件左方的選取區上連按滑鼠左鍵三次，可以完成以下那一個功能？(1)選取一句話(2)選取一列(3)選取一段(4)選取整份文件。
336	2	134	下列哪些應用軟體可以運作在Mac OS X上？(1)Office 365(2)IE 10(3)Numbers(4)Impress。
337	2	1234	下列哪些應用軟體可以支援XML格式的文件檔？(1)Microsoft Word 2010(2)Microsoft Excel 2010(3)Mac Pages 5.0(4)Apache OpenOffice 3.0.0 Writer。
338	2	34	關於Microsoft Word的排版間距說明，下列哪些為誤？(1)段落內兩行空白間隔 = 行距 - 字高(2)段落間空白間隔 = 與下段距離 + 段落內兩行空白間隔(3)行距是指一行文字底端到下一行文字的頂端(4)同時按下Shift+Enter鍵與按下Enter鍵一樣都可以加入段落間空白間隔。
339	2	24	關於Microsoft Word避頭尾字元的標準預設值，下列哪些字元不能置於行首？(1)左括號(2)問號(3)左引號(4)冒號。
340	2	14	在Microsoft Word中要製作一個統計折線圖，下列哪些作法無法完成？(1)使用繪圖工具(2)插入圖表(3)複製Microsoft Excel製作之圖表(4)利用快取圖案。
341	2	34	在Microsoft Word中，為了避免往後重新排版造成版面紊亂而強迫換頁，下列哪些是比較好的方法？(1)多按幾次Enter鍵隔開即可(2)插入分節符號(3)插入分頁符號(4)按下Ctrl+Enter鍵。
342	2	124	(本題刪題)在Microsoft Word繪圖時，有些圖形物件無法移動到您想要的位置，此時必須加按某鍵改為平滑式的移動，下列哪些按鍵無法達成此效果？(1)Shift鍵(2)Ctrl鍵(3)Alt鍵(4)Tab鍵。
343	2	1234	下列哪些是Microsoft Word使用大綱模式與標題樣式來編輯長篇報告的好處？(1)可以很容易使用大綱工具列調整、調換章節順序所在處(2)可以使用大綱模式檢視指定的標題階層(3)可以很簡單完成目次製作、更改(4)能與Microsoft PowerPoint整合，快速製作報告的簡報。
344	2	1234	下列哪些是Microsoft PowerPoint投影片內物件的動畫觸發時機？(1)按一下(2)設定前動畫完成後1秒(3)與前動畫同時(4)接續前動畫。
345	2	23	下列哪些是Microsoft Word與Mac Pages共同具有的功能？(1)定義頁面邊框(2)浮水印(3)插入註腳(4)插入數學公式。
346	2	2	在文書處理軟體Microsoft Word XP中，關於「自動圖文集」的功能，下列敘述何者錯誤？(1)設定自動圖文集的段落包含其中的段落格式(2)按一下F4鍵，可以將已設定的文字或圖案插入文件(3)一個自動圖文集項目，可以同時包含圖和文(4)自動圖文集會被儲存在範本中。
347	2	134	Microsoft Word中開啟「索引項目標記」視窗的快速鍵是以下哪些鍵的組合？(1)Shift鍵(2)Ctrl鍵(3)Alt鍵(4)X鍵。
348	2	1234	下列哪些是Microsoft Word與Apache OpenOffice共同具有的功能？(1)合併列印(2)定義頁面邊框(3)插入註腳(4)插入數學公式。
349	2	13	Microsoft Word可以自訂書籤，也有預設書籤，其中預設書籤的位置分為相對位置與絕對位置，下列哪些是絕對位置？(1)\StartOfDoc(2)\StartOfSel(3)\EndOfDoc(4)\Page。
350	2	234	Microsoft Word可以自訂書籤，也有預設書籤，其中預設書籤的位置分為相對位置與絕對位置，下列哪些是相對位置？(1)\StartOfDoc(2)\StartOfSel(3)\Cell(4)\Page。
351	2	23	Microsoft Word的自動圖文集功能，可以改用下列哪些功能變數來套用？(1)AutoNumOut(2)AutoText(3)AutoTextList(4)Compare。
352	2	123	Microsoft Word標號設定所使用的功能變數是SEQ，最適用於文章報告中哪些物件的標示？(1)方程式(2)表格(3)圖形(4)參考文獻。
353	2	1234	Microsoft Excel資料分析中的敘述統計包含下列哪些數值？(1)平均值(2)標準差(3)變異數(4)平均信賴度。
354	2	1234	在Microsoft Excel的函數中，下列哪些是常態分佈類型的函數？(1)NORMDIST(2)NORMINV(3)NORMSDIST(4)NORMSINV。
355	2	134	下列哪些瀏覽器支援HTML5與CSS3？(1)Opera 19(2)IE 9(3)Firefox 27.0(4)Google Chrome 32.0。
356	2	34	下列哪些瀏覽器有開放原始碼？(1)Opera(2)IE(3)Firefox(4)Google Chrome。
357	2	4	在文書處理軟體Microsoft Word 2003中，關於「表格」的敘述，下列何者錯誤？(1)可以對表格中的數字排序(2)允許將一個表格分割為二個表格(3)可以設定跨頁標題重覆(4)可以將表格內容及表格框線轉成文字檔。
358	2	1234	下列哪些瀏覽器可以在Microsoft Windows與Mac的OS X兩平台上執行？(1)Opera(2)IE(3)Firefox(4)Google Chrome。
359	2	1234	下列應用軟體中，何者屬於資料庫軟體？(1)Access(2)Oracle(3)Microsoft SQL Server(4)DB2。
360	2	123	下列應用軟體中，何者屬於影像處理軟體？(1)Photoshop(2)Illustrator(3)Painter(4)Access。
361	2	234	在關聯式資料庫系統中，SELECT…FROM…句型是主要的資料搜尋指令，下列哪些子句是可以使用在SELECT句型中的語法？(1)SET(2)WHERE(3)ORDER BY(4)GROUP BY。
